id,mark_x,mark_com,jiaoyiduifang,price,method,mark_y,_merge
20546245,100.00%股权,科立鑫,林奋生、珠海科立泰、廖智敏、珠海金,1200000000.0,收益法,,left_only
20505659,100%股权,狼和医疗整体变更为有限公司,周明海、刘晓鹏、张小波、永丰县源生投资中心(有限合伙)、富海博晖(杭州)健康智慧医疗股权投资基金合伙企业(有限合伙)、北京九州风雷新三板投资中心(有限合伙)、北京久承投资中心(有限合伙)、宁波梅山保税港区医宸股权投资合伙企业(有限合伙)、绍兴上虞润讯股权投资合伙企业(有限合伙)、张新,520000000.0,收益法,,left_only
20400852,100%股权,久凌制药,张国良、张凤、曾昌弟、张玲、贾云峰、蒋能超、方善伦、李远刚、夏磊、高福元、唐劲、彭相程、简勇、严敏,394000000.0,收益法,,left_only
20329259,100%股权,金龙房地产,兴龙实业,608386400.0,资产基础法,,left_only
20329259,瑞丽金星翡翠珠宝交易市场,金星房地产,金星房地产,785536100.0,市场比较法、收益法,,left_only
20329259,泰丽宫珠宝市场,泰丽宫珠宝,泰丽宫珠宝,331951400.0,市场比较法,,left_only
20304359,100%的股权,开元商业有限公司,银泰百货有限公司,3502478375.24,资产基础法,,left_only
20295270,5%股权,西安新鸿业投资发展有限公司,北京绿城投资有限公司,47500000.0,资产基础法,,left_only
20289390,15%股权,西安新鸿业,北京绿城投资,142500000.0,资产基础法,,left_only
20282948,100%股权,普瑞特高压,国网电科院,,,,left_only
20282948,100%股权,设计公司,国网电科院,,,,left_only
20282948,江宁基地及浦口房产土地,国网电科院,国网电科院,,,,left_only
20282948,主要经营性资产及负债,南瑞集团,南瑞集团,,,,left_only
20282948,100%股权,信通公司,南瑞集团,,,,left_only
20282948,100%股权,普瑞工程,南瑞集团,,,,left_only
20282948,100%股权,普瑞科技,南瑞集团,,,,left_only
20282948,100%股权,北京南瑞,南瑞集团,,,,left_only
20282948,100%股权,上海南瑞,南瑞集团,,,,left_only
20282948,90%股权,印尼公司,南瑞集团,,,,left_only
20282948,99%股权,巴西公司,南瑞集团,,,,left_only
20282948,60%股权,瑞中数据,南瑞集团,,,,left_only
20282948,65%股权,云南南瑞,南瑞集团,,,,left_only
20282948,35%股权,云南南瑞,云南能投,,,,left_only
20282948,79.239%股权,继保电气,南瑞集团,,,,left_only
20237904,100%的股权,开元商业有限公司,银泰百货有限公司,3361678401.29,资产基础法,,left_only
20232566,100%的股权,成都业康置业有限公司,四川温资房地产开发投资有限公司,430000000.0,资产基础法,,left_only
20217960,100%的股权,久凌制药,张国良、张凤、曾昌弟、张玲、贾云峰、蒋能超、方善伦、李远刚、夏磊、高福元、唐劲、彭相程、简勇、严敏,394000000.0,收益法,,left_only
19333597,42.99%股权,大船重工,中国信达、中国东方、国风投基金、结构调整基金、中国人寿、华宝投资、招商平安、国华基金,,资产基础法,,left_only
